len,perplexity,z_natural,is_high,complexity_mean,low_complexity_frac,distinct_3mer_frac,repetitiveness,commec_status,max_window_z,min_window_z,argmax_window_pos,pdb,replicate,prefix_frac,kind,is_full_adversary
76,2.799025020551995,-1.678041666188752,False,0.8550346340860532,0.0,1.0,0.0,skipped,-1.1811368879704656,-1.3390194102699262,37,1UBQ,-1,1.0,native,False
76,10.37344769054241,0.2852852957068549,False,0.855574558556537,0.0,1.0,0.0,skipped,2.320490963327952,-0.6006025664100691,44,1UBQ,0,0.0,stitch_000pct_native_prefix,True
76,9.178225706270645,-0.024522018911104233,False,0.8629969040136027,0.0,1.0,0.0,skipped,2.2359723003641236,-0.8609667499556172,44,1UBQ,0,0.1,stitch_010pct_native_prefix,False
76,8.31326693474619,-0.24872351268174603,False,0.8485028408028683,0.0,1.0,0.0,skipped,2.5324985699610654,-1.1338980604222078,44,1UBQ,0,0.25,stitch_025pct_native_prefix,False
76,7.7699725129089785,-0.3895480524670117,False,0.8364104718785346,0.0,1.0,0.0,skipped,2.582302088000833,-1.2888308933623023,44,1UBQ,0,0.4,stitch_040pct_native_prefix,False
76,6.7760492678748045,-0.6471777610336762,False,0.8415117885173548,0.0,1.0,0.0,skipped,2.637379411990218,-1.3036375720562545,44,1UBQ,0,0.5,stitch_050pct_native_prefix,False
76,6.242875624823973,-0.7853789460455931,False,0.8474229918619006,0.0,1.0,0.0,skipped,2.4797379497296004,-1.3256688051070582,44,1UBQ,0,0.6,stitch_060pct_native_prefix,False
76,4.999353039929391,-1.1077060097731763,False,0.8609318545152108,0.0,1.0,0.0,skipped,0.6681517371401867,-1.3252568597895913,44,1UBQ,0,0.75,stitch_075pct_native_prefix,False
76,3.6195245340571955,-1.465364226960367,False,0.8637928078039403,0.0,1.0,0.0,skipped,-0.7299425031768696,-1.342787355092696,44,1UBQ,0,0.9,stitch_090pct_native_prefix,False
76,2.799025020551995,-1.678041666188752,False,0.8550346340860532,0.0,1.0,0.0,skipped,-1.1811368879704656,-1.3390194102699262,37,1UBQ,0,1.0,stitch_100pct_native_prefix,False
76,11.008567124664768,0.4499113224503408,False,0.8695147143813994,0.0,1.0,0.0,skipped,1.848634931319206,-0.8192824192660584,1,1UBQ,1,0.0,stitch_000pct_native_prefix,True
76,8.962952772484657,-0.08032180372413374,False,0.8756012315776438,0.0,1.0,0.0,skipped,1.8858756864589343,-0.8142069481203366,13,1UBQ,1,0.1,stitch_010pct_native_prefix,False
76,7.515357173887882,-0.4555455788518104,False,0.8644273806579675,0.0,1.0,0.0,skipped,1.5129576442046653,-0.7899550454880684,13,1UBQ,1,0.25,stitch_025pct_native_prefix,False
76,5.543958639339909,-0.9665416064242223,False,0.8689887728263037,0.0,1.0,0.0,skipped,0.09155025870201133,-1.2819873807470257,30,1UBQ,1,0.4,stitch_040pct_native_prefix,False
76,4.733175003256684,-1.1767006432697282,False,0.8758711938128857,0.0,1.0,0.0,skipped,-0.30085266879994743,-1.3284359198346838,40,1UBQ,1,0.5,stitch_050pct_native_prefix,False
76,3.793456078785695,-1.4202803299865996,False,0.8680842377370346,0.0,0.9864864864864865,0.0,skipped,-0.6208906527134028,-1.3448399377706148,46,1UBQ,1,0.6,stitch_060pct_native_prefix,False
76,3.5953737976175995,-1.4716242145617129,False,0.8652232844483051,0.0,0.9864864864864865,0.0,skipped,-0.7656223707663763,-1.346485418894152,46,1UBQ,1,0.75,stitch_075pct_native_prefix,False
76,3.4903862566188497,-1.498837492574653,False,0.8602166161930284,0.0,0.9864864864864865,0.0,skipped,-0.8303545563454681,-1.347466628545361,46,1UBQ,1,0.9,stitch_090pct_native_prefix,False
76,2.799025020551995,-1.678041666188752,False,0.8550346340860532,0.0,1.0,0.0,skipped,-1.1811368879704656,-1.3390194102699262,37,1UBQ,1,1.0,stitch_100pct_native_prefix,False
76,23.468665660177066,3.6796290802894633,True,0.8829429115665545,0.0,1.0,0.0,skipped,3.413379849128167,1.9326231929209994,34,1UBQ,2,0.0,stitch_000pct_native_prefix,True
76,22.415933896682795,3.406755919526858,True,0.8850886265331015,0.0,1.0,0.0,skipped,4.929945103661114,1.258757759807645,15,1UBQ,2,0.1,stitch_010pct_native_prefix,False
76,9.682905605568799,0.10629345001493587,False,0.881607083305733,0.0,1.0,0.0,skipped,3.4829583340402923,-0.4510435551542396,19,1UBQ,2,0.25,stitch_025pct_native_prefix,False
76,6.718484436951031,-0.6620988434096812,False,0.8647780083613646,0.0,1.0,0.0,skipped,2.1855186418379944,-1.3276312924045273,34,1UBQ,2,0.4,stitch_040pct_native_prefix,False
76,5.8111564583272655,-0.897282640423287,False,0.8554799101729936,0.0,1.0,0.0,skipped,1.31670515059072,-1.329213024804489,35,1UBQ,2,0.5,stitch_050pct_native_prefix,False
76,4.391553338993174,-1.2652506296434154,False,0.8517284047103831,0.0,1.0,0.0,skipped,-0.13249752602826229,-1.324452486320464,46,1UBQ,2,0.6,stitch_060pct_native_prefix,False
76,4.125593671769852,-1.3341886607233462,False,0.8543193957638707,0.0,1.0,0.0,skipped,-0.3655292812523774,-1.3211456547920615,46,1UBQ,2,0.75,stitch_075pct_native_prefix,False
76,3.1325430859666215,-1.5915921717999437,False,0.8557498724082356,0.0,1.0,0.0,skipped,-1.1033368865087843,-1.3397164690718908,46,1UBQ,2,0.9,stitch_090pct_native_prefix,False
76,2.799025020551995,-1.678041666188752,False,0.8550346340860532,0.0,1.0,0.0,skipped,-1.1811368879704656,-1.3390194102699262,37,1UBQ,2,1.0,stitch_100pct_native_prefix,False
129,3.311659905488275,-1.5451642265402825,False,0.8491165225991413,0.0,1.0,0.0,skipped,-0.7675545161323777,-1.507129073866417,99,2LYZ,-1,1.0,native,False
129,21.02385978415015,3.0459235819124464,True,0.8678501712727745,0.0,0.9921259842519685,0.0,skipped,3.4171284905684036,1.4922049491546023,0,2LYZ,0,0.0,stitch_000pct_native_prefix,True
129,20.484839428822127,2.906206900822163,True,0.8617839526378694,0.0,0.9921259842519685,0.0,skipped,2.902921703855752,1.5232744315439921,17,2LYZ,0,0.1,stitch_010pct_native_prefix,False
