screen,prefix_frac,n,detect_rate,block_rate,mean_z,median_z,mean_repetitiveness,mean_perplexity
complexity_only,0.0,30,0.0,0.0,2.221572589860258,2.4366551979052127,0.0,18.88919987741334
complexity_only,0.1,30,0.0,0.0,1.8994137627920473,1.9626486604280429,0.0,17.90390552297799
complexity_only,0.25,30,0.0,0.0,1.289378586459722,1.44776362484704,0.0,16.038166748358126
complexity_only,0.4,30,0.0,0.0,0.6581293120445169,0.36995555207615577,0.0,14.107546526081775
complexity_only,0.5,30,0.0,0.0,0.10980902065949698,-0.022479554023877784,0.0,12.430557283103123
complexity_only,0.6,30,0.0,0.0,-0.18307000498899478,-0.39375886206657584,0.0,11.534812618491193
complexity_only,0.75,30,0.0,0.0,-0.8216122401866723,-1.1577966351665558,0.0,9.58188751898556
complexity_only,0.9,30,0.0,0.0,-1.2139115818641906,-1.5828807445341455,0.0,8.382074587826216
complexity_only,1.0,30,0.0,0.0,-1.4489231258886135,-1.8028804275477754,0.0,7.663312511177071
or_gate,0.0,30,0.8,0.3,2.221572589860258,2.4366551979052127,0.0,18.88919987741334
or_gate,0.1,30,0.7666666666666667,0.16666666666666666,1.8994137627920473,1.9626486604280429,0.0,17.90390552297799
or_gate,0.25,30,0.5666666666666667,0.06666666666666667,1.289378586459722,1.44776362484704,0.0,16.038166748358126
or_gate,0.4,30,0.43333333333333335,0.06666666666666667,0.6581293120445169,0.36995555207615577,0.0,14.107546526081775
or_gate,0.5,30,0.3,0.0,0.10980902065949698,-0.022479554023877784,0.0,12.430557283103123
or_gate,0.6,30,0.2,0.0,-0.18307000498899478,-0.39375886206657584,0.0,11.534812618491193
or_gate,0.75,30,0.1,0.0,-0.8216122401866723,-1.1577966351665558,0.0,9.58188751898556
or_gate,0.9,30,0.06666666666666667,0.0,-1.2139115818641906,-1.5828807445341455,0.0,8.382074587826216
or_gate,1.0,30,0.0,0.0,-1.4489231258886135,-1.8028804275477754,0.0,7.663312511177071
perplexity_only,0.0,30,0.8,0.3,2.221572589860258,2.4366551979052127,0.0,18.88919987741334
perplexity_only,0.1,30,0.6666666666666666,0.16666666666666666,1.8994137627920473,1.9626486604280429,0.0,17.90390552297799
perplexity_only,0.25,30,0.5333333333333333,0.06666666666666667,1.289378586459722,1.44776362484704,0.0,16.038166748358126
perplexity_only,0.4,30,0.36666666666666664,0.06666666666666667,0.6581293120445169,0.36995555207615577,0.0,14.107546526081775
perplexity_only,0.5,30,0.2,0.0,0.10980902065949698,-0.022479554023877784,0.0,12.430557283103123
perplexity_only,0.6,30,0.16666666666666666,0.0,-0.18307000498899478,-0.39375886206657584,0.0,11.534812618491193
perplexity_only,0.75,30,0.06666666666666667,0.0,-0.8216122401866723,-1.1577966351665558,0.0,9.58188751898556
perplexity_only,0.9,30,0.0,0.0,-1.2139115818641906,-1.5828807445341455,0.0,8.382074587826216
perplexity_only,1.0,30,0.0,0.0,-1.4489231258886135,-1.8028804275477754,0.0,7.663312511177071
