len,perplexity,z_natural,is_high,complexity_mean,low_complexity_frac,distinct_3mer_frac,repetitiveness,commec_status,max_window_z,min_window_z,argmax_window_pos,pdb,replicate,prefix_frac,kind,is_full_adversary
76,4.311527465908752,-2.5448465257412582,False,0.8550346340860532,0.0,1.0,0.0,skipped,-1.3716566656797988,-1.7523700851944088,10,1UBQ,-1,1.0,native,False
76,15.119437799893054,0.9889844564225797,False,0.855574558556537,0.0,1.0,0.0,skipped,3.547208205107343,-0.540089227907035,36,1UBQ,0,0.0,stitch_000pct_native_prefix,True
76,11.477276638898445,-0.2018823767603148,False,0.8629969040136027,0.0,1.0,0.0,skipped,2.6602145357456646,-1.1578656435789427,44,1UBQ,0,0.1,stitch_010pct_native_prefix,False
76,10.885382271506163,-0.39541235517641343,False,0.8485028408028683,0.0,1.0,0.0,skipped,2.707510951604728,-1.3314569336640252,44,1UBQ,0,0.25,stitch_025pct_native_prefix,False
76,9.535282399006896,-0.836850580607595,False,0.8364104718785346,0.0,1.0,0.0,skipped,2.5314162083072187,-1.6028296028683016,44,1UBQ,0,0.4,stitch_040pct_native_prefix,False
76,8.753055444548593,-1.0926130509952796,False,0.8415117885173548,0.0,1.0,0.0,skipped,2.4661644945715087,-1.6028170506520911,44,1UBQ,0,0.5,stitch_050pct_native_prefix,False
76,7.994201975207101,-1.3407331609900204,False,0.8474229918619006,0.0,1.0,0.0,skipped,1.8742468669845913,-1.6038074464745344,45,1UBQ,0,0.6,stitch_060pct_native_prefix,False
76,5.871067036537329,-2.0349284118512365,False,0.8609318545152108,0.0,1.0,0.0,skipped,-0.3360669152373103,-1.7355553676445252,44,1UBQ,0,0.75,stitch_075pct_native_prefix,False
76,5.2515426287262725,-2.237492504157352,False,0.8637928078039403,0.0,1.0,0.0,skipped,-1.1418024283884438,-1.5817839023015439,44,1UBQ,0,0.9,stitch_090pct_native_prefix,False
76,4.311527465908752,-2.5448465257412582,False,0.8550346340860532,0.0,1.0,0.0,skipped,-1.3716566656797988,-1.7523700851944088,10,1UBQ,0,1.0,stitch_100pct_native_prefix,False
76,21.83150239721103,3.1836086802842942,True,0.8695147143813994,0.0,1.0,0.0,skipped,4.071775893945076,0.38804731350438726,0,1UBQ,1,0.0,stitch_000pct_native_prefix,True
76,10.425577967819978,-0.5457532299511868,False,0.8756012315776438,0.0,1.0,0.0,skipped,1.9091955960289213,-1.2517100764280678,13,1UBQ,1,0.1,stitch_010pct_native_prefix,False
76,9.197503760385182,-0.947293078869375,False,0.8644273806579675,0.0,1.0,0.0,skipped,1.270594951533768,-1.204460889487984,13,1UBQ,1,0.25,stitch_025pct_native_prefix,False
76,6.902833968495242,-1.6975745813831704,False,0.8689887728263037,0.0,1.0,0.0,skipped,-0.42547956284173155,-1.6008281802830957,30,1UBQ,1,0.4,stitch_040pct_native_prefix,False
76,6.3732308811127805,-1.87073736129234,False,0.8758711938128857,0.0,1.0,0.0,skipped,-0.7278964961860456,-1.6148165479371093,34,1UBQ,1,0.5,stitch_050pct_native_prefix,False
76,5.033543488472715,-2.308771048492676,False,0.8680842377370346,0.0,0.9864864864864865,0.0,skipped,-1.0971098603198313,-1.7205831453146838,46,1UBQ,1,0.6,stitch_060pct_native_prefix,False
