len,perplexity,z_natural,is_high,complexity_mean,low_complexity_frac,distinct_3mer_frac,repetitiveness,commec_status,max_window_z,min_window_z,argmax_window_pos,pdb,replicate,prefix_frac,kind,is_full_adversary,verdict_perplexity_only,verdict_complexity_only,verdict_or_gate,verdict_sliding_window_perplexity,verdict_or_gate_v2,verdict_sliding_window_perplexity_tight,verdict_or_gate_v3_tight
76,1.7832979073062367,-0.9335015694928398,False,0.8550346340860532,0.0,1.0,0.0,skipped,-0.5872510878019117,-0.8064610748293296,10,1UBQ,-1,1.0,native,False,PASS,PASS,PASS,PASS,PASS,PASS,PASS
76,9.096379408419324,1.4274822097448014,False,0.855574558556537,0.0,1.0,0.0,skipped,3.461952171246632,0.15460556444353427,44,1UBQ,0,0.0,stitch_000pct_native_prefix,True,PASS,PASS,REVIEW,BLOCK,BLOCK,REVIEW,REVIEW
76,7.913787770946909,1.0456897091266306,False,0.8629969040136027,0.0,1.0,0.0,skipped,3.6634646554736627,-0.09547972125355435,44,1UBQ,0,0.1,stitch_010pct_native_prefix,False,PASS,PASS,REVIEW,BLOCK,BLOCK,BLOCK,BLOCK
76,6.600774296983995,0.621791313699878,False,0.8485028408028683,0.0,1.0,0.0,skipped,3.7956522130077905,-0.5283354093204947,44,1UBQ,0,0.25,stitch_025pct_native_prefix,False,PASS,PASS,PASS,BLOCK,BLOCK,BLOCK,BLOCK
76,6.0788121899070555,0.4532790295146427,False,0.8364104718785346,0.0,1.0,0.0,skipped,3.667973196888547,-0.6454271649363089,44,1UBQ,0,0.4,stitch_040pct_native_prefix,False,PASS,PASS,PASS,BLOCK,BLOCK,BLOCK,BLOCK
76,5.411233429151179,0.2377552964250697,False,0.8415117885173548,0.0,1.0,0.0,skipped,3.7229383294941067,-0.6555999286303392,44,1UBQ,0,0.5,stitch_050pct_native_prefix,False,PASS,PASS,PASS,BLOCK,BLOCK,BLOCK,BLOCK
76,5.2435634427515065,0.183624063497559,False,0.8474229918619006,0.0,1.0,0.0,skipped,4.187440572039009,-0.655160466399613,44,1UBQ,0,0.6,stitch_060pct_native_prefix,False,PASS,PASS,PASS,BLOCK,BLOCK,BLOCK,BLOCK
76,3.750581535464792,-0.2983760434700306,False,0.8609318545152108,0.0,1.0,0.0,skipped,1.284444933124694,-0.6846888911937221,44,1UBQ,0,0.75,stitch_075pct_native_prefix,False,PASS,PASS,PASS,PASS,REVIEW,PASS,PASS
76,2.4506427955711736,-0.7180533407111888,False,0.8637928078039403,0.0,1.0,0.0,skipped,-0.2961322468893651,-0.7745678816762086,46,1UBQ,0,0.9,stitch_090pct_native_prefix,False,PASS,PASS,PASS,PASS,PASS,PASS,PASS
76,1.7832979073062367,-0.9335015694928398,False,0.8550346340860532,0.0,1.0,0.0,skipped,-0.5872510878019117,-0.8064610748293296,10,1UBQ,0,1.0,stitch_100pct_native_prefix,False,PASS,PASS,PASS,PASS,PASS,PASS,PASS
76,9.84162118453686,1.6680789738798583,False,0.8695147143813994,0.0,1.0,0.0,skipped,3.633454862391133,-0.24048896713971726,13,1UBQ,1,0.0,stitch_000pct_native_prefix,True,REVIEW,PASS,REVIEW,BLOCK,BLOCK,BLOCK,BLOCK
76,7.861371451537569,1.0287674199556491,False,0.8756012315776438,0.0,1.0,0.0,skipped,4.358168090748048,-0.21446319998663935,13,1UBQ,1,0.1,stitch_010pct_native_prefix,False,PASS,PASS,REVIEW,BLOCK,BLOCK,BLOCK,BLOCK
76,6.263091417418307,0.5127724546786159,False,0.8644273806579675,0.0,1.0,0.0,skipped,3.4449484074752,-0.2193450223158749,13,1UBQ,1,0.25,stitch_025pct_native_prefix,False,PASS,PASS,PASS,BLOCK,BLOCK,REVIEW,REVIEW
76,4.969788481356181,0.09523748625000707,False,0.8689887728263037,0.0,1.0,0.0,skipped,1.3825920518563533,-0.5335493647214298,13,1UBQ,1,0.4,stitch_040pct_native_prefix,False,PASS,PASS,PASS,PASS,REVIEW,PASS,PASS
