len,perplexity,z_natural,is_high,complexity_mean,low_complexity_frac,distinct_3mer_frac,repetitiveness,commec_status,pdb,replicate,prefix_frac,kind,is_full_adversary,verdict_perplexity_only,verdict_complexity_only,verdict_or_gate
76,4.311527465908752,-2.5448465257412582,False,0.8550346340860532,0.0,1.0,0.0,skipped,1UBQ,-1,1.0,native,False,PASS,PASS,PASS
76,15.119437799893054,0.9889844564225797,False,0.855574558556537,0.0,1.0,0.0,skipped,1UBQ,0,0.0,stitch_000pct_native_prefix,True,PASS,PASS,PASS
76,11.477276638898445,-0.2018823767603148,False,0.8629969040136027,0.0,1.0,0.0,skipped,1UBQ,0,0.1,stitch_010pct_native_prefix,False,PASS,PASS,PASS
76,10.885382271506163,-0.39541235517641343,False,0.8485028408028683,0.0,1.0,0.0,skipped,1UBQ,0,0.25,stitch_025pct_native_prefix,False,PASS,PASS,PASS
76,9.535282399006896,-0.836850580607595,False,0.8364104718785346,0.0,1.0,0.0,skipped,1UBQ,0,0.4,stitch_040pct_native_prefix,False,PASS,PASS,PASS
76,8.753055444548593,-1.0926130509952796,False,0.8415117885173548,0.0,1.0,0.0,skipped,1UBQ,0,0.5,stitch_050pct_native_prefix,False,PASS,PASS,PASS
76,7.994201975207101,-1.3407331609900204,False,0.8474229918619006,0.0,1.0,0.0,skipped,1UBQ,0,0.6,stitch_060pct_native_prefix,False,PASS,PASS,PASS
76,5.871067036537329,-2.0349284118512365,False,0.8609318545152108,0.0,1.0,0.0,skipped,1UBQ,0,0.75,stitch_075pct_native_prefix,False,PASS,PASS,PASS
76,5.2515426287262725,-2.237492504157352,False,0.8637928078039403,0.0,1.0,0.0,skipped,1UBQ,0,0.9,stitch_090pct_native_prefix,False,PASS,PASS,PASS
76,4.311527465908752,-2.5448465257412582,False,0.8550346340860532,0.0,1.0,0.0,skipped,1UBQ,0,1.0,stitch_100pct_native_prefix,False,PASS,PASS,PASS
76,21.83150239721103,3.1836086802842942,True,0.8695147143813994,0.0,1.0,0.0,skipped,1UBQ,1,0.0,stitch_000pct_native_prefix,True,BLOCK,PASS,BLOCK
76,10.425577967819978,-0.5457532299511868,False,0.8756012315776438,0.0,1.0,0.0,skipped,1UBQ,1,0.1,stitch_010pct_native_prefix,False,PASS,PASS,PASS
76,9.197503760385182,-0.947293078869375,False,0.8644273806579675,0.0,1.0,0.0,skipped,1UBQ,1,0.25,stitch_025pct_native_prefix,False,PASS,PASS,PASS
76,6.902833968495242,-1.6975745813831704,False,0.8689887728263037,0.0,1.0,0.0,skipped,1UBQ,1,0.4,stitch_040pct_native_prefix,False,PASS,PASS,PASS
76,6.3732308811127805,-1.87073736129234,False,0.8758711938128857,0.0,1.0,0.0,skipped,1UBQ,1,0.5,stitch_050pct_native_prefix,False,PASS,PASS,PASS
76,5.033543488472715,-2.308771048492676,False,0.8680842377370346,0.0,0.9864864864864865,0.0,skipped,1UBQ,1,0.6,stitch_060pct_native_prefix,False,PASS,PASS,PASS
76,4.902756805215118,-2.3515339896226437,False,0.8652232844483051,0.0,0.9864864864864865,0.0,skipped,1UBQ,1,0.75,stitch_075pct_native_prefix,False,PASS,PASS,PASS
76,4.880874843538408,-2.3586886709379145,False,0.8602166161930284,0.0,0.9864864864864865,0.0,skipped,1UBQ,1,0.9,stitch_090pct_native_prefix,False,PASS,PASS,PASS
76,4.311527465908752,-2.5448465257412582,False,0.8550346340860532,0.0,1.0,0.0,skipped,1UBQ,1,1.0,stitch_100pct_native_prefix,False,PASS,PASS,PASS
76,21.756743290603573,3.159164912806171,True,0.8829429115665545,0.0,1.0,0.0,skipped,1UBQ,2,0.0,stitch_000pct_native_prefix,True,BLOCK,PASS,BLOCK
76,19.505756799607745,2.423166412032074,True,0.8850886265331015,0.0,1.0,0.0,skipped,1UBQ,2,0.1,stitch_010pct_native_prefix,False,REVIEW,PASS,REVIEW
76,12.473124495495837,0.12372709819061097,False,0.881607083305733,0.0,1.0,0.0,skipped,1UBQ,2,0.25,stitch_025pct_native_prefix,False,PASS,PASS,PASS
76,8.482725623071596,-1.1810020058457278,False,0.8647780083613646,0.0,1.0,0.0,skipped,1UBQ,2,0.4,stitch_040pct_native_prefix,False,PASS,PASS,PASS
76,7.5059298403420875,-1.5003820796609784,False,0.8554799101729936,0.0,1.0,0.0,skipped,1UBQ,2,0.5,stitch_050pct_native_prefix,False,PASS,PASS,PASS
76,5.730890498995693,-2.080761526304405,False,0.8517284047103831,0.0,1.0,0.0,skipped,1UBQ,2,0.6,stitch_060pct_native_prefix,False,PASS,PASS,PASS
76,5.069131371097542,-2.297134982100287,False,0.8543193957638707,0.0,1.0,0.0,skipped,1UBQ,2,0.75,stitch_075pct_native_prefix,False,PASS,PASS,PASS
76,4.427713120385574,-2.506857640490966,False,0.8557498724082356,0.0,1.0,0.0,skipped,1UBQ,2,0.9,stitch_090pct_native_prefix,False,PASS,PASS,PASS
76,4.311527465908752,-2.5448465257412582,False,0.8550346340860532,0.0,1.0,0.0,skipped,1UBQ,2,1.0,stitch_100pct_native_prefix,False,PASS,PASS,PASS
129,5.86561219337448,-2.0367119660421986,False,0.8491165225991413,0.0,1.0,0.0,skipped,2LYZ,-1,1.0,native,False,PASS,PASS,PASS
129,19.800514121449247,2.51954235557297,True,0.8678501712727745,0.0,0.9921259842519685,0.0,skipped,2LYZ,0,0.0,stitch_000pct_native_prefix,True,REVIEW,PASS,REVIEW
